Instance,Budget,rate,Nodes,Arcs,Traffickers,Bottoms,Victims,ObjVal,ObtGap,MaxFlow,Int_L1,Int_L2,Int_L3,Time
Network9,8,0.5,26,56,5,3,18,15,0.0,69.0,1,0,0,0.02
Network9,8,0.75,26,56,5,3,18,15,0.0,69.0,1,0,0,0.02
Network9,8,1,26,56,5,3,18,15,0.0,69.0,1,0,0,0.02
Network9,12,0.5,26,56,5,3,18,12,0.0,54.0,1,1,0,0.02
Network9,12,0.75,26,56,5,3,18,12,0.0,54.0,1,1,0,0.02
Network9,12,1,26,56,5,3,18,12,0.0,54.0,1,1,0,0.02
Network9,16,0.5,26,56,5,3,18,9,0.0,32.0,2,0,0,0.02
Network9,16,0.75,26,56,5,3,18,9,0.0,32.0,2,0,0,0.02
Network9,16,1,26,56,5,3,18,9,0.0,32.0,2,0,0,0.02
Network9,20,0.5,26,56,5,3,18,7,0.0,29.0,2,0,2,0.02
Network9,20,0.75,26,56,5,3,18,7,0.0,29.0,2,0,2,0.02
Network9,20,1,26,56,5,3,18,7,0.0,29.0,2,0,2,0.02
Network9,24,0.5,26,56,5,3,18,5,0.0,18.0,3,0,0,0.02
Network9,24,0.75,26,56,5,3,18,5,0.0,18.0,3,0,0,0.02
Network9,24,1,26,56,5,3,18,5,0.0,18.0,3,0,0,0.02
Network10,0,0.5,31,73,5,4,22,26,0.0,163.0,0,0,0,0.02
Network10,0,0.75,31,73,5,4,22,26,0.0,163.0,0,0,0,0.02
Network10,0,1,31,73,5,4,22,26,0.0,163.0,0,0,0,0.02
Network10,4,0.5,31,73,5,4,22,23,0.0,150.0,0,1,0,0.02
Network10,4,0.75,31,73,5,4,22,23,0.0,150.0,0,1,0,0.02
Network10,4,1,31,73,5,4,22,23,0.0,150.0,0,1,0,0.02
Network10,8,0.5,31,73,5,4,22,19,0.0,105.0,1,0,0,0.02
Network10,8,0.75,31,73,5,4,22,19,0.0,105.0,1,0,0,0.02
Network10,8,1,31,73,5,4,22,19,0.0,105.0,1,0,0,0.02
Network10,12,0.5,31,73,5,4,22,16,0.0,92.0,1,1,0,0.02
Network10,12,0.75,31,73,5,4,22,16,0.0,92.0,1,1,0,0.04
Network10,12,1,31,73,5,4,22,16,0.0,92.0,1,1,0,0.02
Network10,16,0.5,31,73,5,4,22,13,0.0,78.0,2,0,0,0.03
Network10,16,0.75,31,73,5,4,22,13,0.0,78.0,2,0,0,0.02
Network10,16,1,31,73,5,4,22,13,0.0,78.0,2,0,0,0.03
Network10,20,0.5,31,73,5,4,22,10,0.0,65.0,2,1,0,0.02
Network10,20,0.75,31,73,5,4,22,10,0.0,65.0,2,1,0,0.02
Network10,20,1,31,73,5,4,22,10,0.0,65.0,2,1,0,0.02
Network10,24,0.5,31,73,5,4,22,7,0.0,50.0,3,0,0,0.03
Network10,24,0.75,31,73,5,4,22,7,0.0,50.0,3,0,0,0.02
Network10,24,1,31,73,5,4,22,7,0.0,50.0,3,0,0,0.02
