Instance,Budget,Cal_A,Nodes,Arcs,SpecialArcs,OptGap,ObjVal,MaxFlow,Int_L1,Int_L2,Int_L3,Other,Time
Net1,0,2,22,69,19,0.0,19,287.0,0,0,0,0,0.06
Net1,3,2,22,69,19,0.0,12,209.0,3,0,0,0,0.03
Net1,6,2,22,69,19,0.0,9,155.0,3,3,0,0,0.02
Net1,9,2,22,69,19,0.0,6,118.0,3,6,0,0,0.03
Net1,12,2,22,69,19,0.0,4,81.0,3,8,0,0,0.03
Net2,0,2,22,66,17,0.0,17,312.0,0,0,0,0,0.02
Net2,3,2,22,66,17,0.0,14,252.0,0,3,0,0,0.03
Net2,6,2,22,66,17,0.0,11,222.0,0,2,4,0,0.02
Net2,9,2,22,66,17,0.0,8,159.0,0,0,9,0,0.02
Net2,12,2,22,66,17,0.0,5,106.0,0,3,9,0,0.02
Net3,0,2,22,66,19,0.0,19,283.0,0,0,0,0,0.02
Net3,3,2,22,66,19,0.0,14,236.0,2,0,0,0,0.02
Net3,6,2,22,66,19,0.0,11,211.0,2,3,0,0,0.02
Net3,9,2,22,66,19,0.0,8,132.0,2,2,4,0,0.02
Net3,12,2,22,66,19,0.0,5,78.0,2,5,4,0,0.02
Net4,0,2,22,58,17,0.0,17,229.0,0,0,0,0,0.02
Net4,3,2,22,58,17,0.0,13,186.0,0,0,3,0,0.02
Net4,6,2,22,58,17,0.0,9,139.0,0,0,6,0,0.03
Net4,9,2,22,58,17,0.0,6,103.0,2,0,6,0,0.02
Net4,12,2,22,58,17,0.0,3,53.0,0,2,10,0,0.02
Net5,0,2,22,58,15,0.0,11,134.0,0,0,0,0,0.03
Net5,3,2,22,58,15,0.0,8,101.0,0,3,0,0,0.02
Net5,6,2,22,58,15,0.0,5,66.0,2,1,0,0,0.02
Net5,9,2,22,58,15,0.0,3,38.0,2,3,0,0,0.02
Net5,12,2,22,58,15,0.0,2,26.0,2,4,0,0,0.04
Net6,0,2,22,62,13,0.0,13,293.0,0,0,0,0,0.02
Net6,3,2,22,62,13,0.0,10,255.0,2,0,0,0,0.02
Net6,6,2,22,62,13,0.0,7,199.0,2,3,0,0,0.03
Net6,9,2,22,62,13,0.0,6,170.0,2,4,0,0,0.04
Net6,12,2,22,62,13,0.0,4,104.0,0,1,10,0,0.04
Net7,0,2,22,65,21,0.0,21,259.0,0,0,0,0,0.03
Net7,3,2,22,65,21,0.0,16,213.0,2,0,0,0,0.03
Net7,6,2,22,65,21,0.0,12,159.0,4,0,0,0,0.02
Net7,9,2,22,65,21,0.0,8,100.0,6,1,0,0,0.02
Net7,12,2,22,65,21,0.0,5,65.0,6,4,0,0,0.02
Net8,0,2,22,75,20,0.0,20,368.0,0,0,0,0,0.02
Net8,3,2,22,75,20,0.0,17,325.0,0,3,0,0,0.03
Net8,6,2,22,75,20,0.0,13,255.0,4,2,0,0,0.02
Net8,9,2,22,75,20,0.0,10,185.0,4,5,0,0,0.02
Net8,12,2,22,75,20,0.0,7,140.0,4,8,0,0,0.02
Net9,0,2,22,67,20,0.0,20,291.0,0,0,0,0,0.02
Net9,3,2,22,67,20,0.0,16,255.0,0,1,2,0,0.03
Net9,6,2,22,67,20,0.0,12,197.0,0,0,6,0,0.02
Net9,9,2,22,67,20,0.0,9,142.0,6,1,0,0,0.02
Net9,12,2,22,67,20,0.0,5,82.0,8,1,0,0,0.02
Net10,0,2,22,69,21,0.0,21,276.0,0,0,0,0,0.02
Net10,3,2,22,69,21,0.0,17,232.0,2,0,0,0,0.02
Net10,6,2,22,69,21,0.0,14,187.0,2,3,0,0,0.02
Net10,9,2,22,69,21,0.0,11,150.0,6,1,0,0,0.02
Net10,12,2,22,69,21,0.0,8,113.0,8,1,0,0,0.03
