Instance,Budget,Cal_A,Nodes,Arcs,SpecialArcs,OptGap,ObjVal,MaxFlow,Int_L1,Int_L2,Int_L3,Other,Time
Net1,0,1,22,66,16,0.0,16,286.0,0,0,0,0,0.07
Net1,3,1,22,66,16,0.0,13,286.0,3,0,0,0,0.02
Net1,6,1,22,66,16,0.0,10,230.0,3,3,0,0,0.02
Net1,9,1,22,66,16,0.0,8,189.0,5,3,0,0,0.05
Net1,12,1,22,66,16,0.0,6,133.0,3,7,0,0,0.03
Net2,0,1,22,68,17,0.0,17,290.0,0,0,0,0,0.09
Net2,3,1,22,68,17,0.0,14,290.0,3,0,0,0,0.02
Net2,6,1,22,68,17,0.0,11,245.0,6,0,0,0,0.02
Net2,9,1,22,68,17,0.0,9,200.0,8,0,0,0,0.03
Net2,12,1,22,68,17,0.0,6,119.0,6,4,0,0,0.03
Net3,0,1,22,70,14,0.0,14,254.0,0,0,0,0,0.03
Net3,3,1,22,70,14,0.0,11,230.0,3,0,0,0,0.02
Net3,6,1,22,70,14,0.0,8,154.0,6,0,0,0,0.02
Net3,9,1,22,70,14,0.0,6,124.0,5,4,0,0,0.04
Net3,12,1,22,70,14,0.0,4,85.0,7,4,0,0,0.02
Net4,0,1,22,68,16,0.0,16,236.0,0,0,0,0,0.02
Net4,3,1,22,68,16,0.0,13,220.0,3,0,0,0,0.03
Net4,6,1,22,68,16,0.0,9,160.0,2,3,0,0,0.02
Net4,9,1,22,68,16,0.0,6,122.0,1,5,0,0,0.03
Net4,12,1,22,68,16,0.0,4,86.0,3,5,0,0,0.02
Net5,0,1,22,71,19,0.0,19,319.0,0,0,0,0,0.24
Net5,3,1,22,71,19,0.0,15,298.0,0,3,0,0,0.02
Net5,6,1,22,71,19,0.0,12,252.0,3,3,0,0,0.03
Net5,9,1,22,71,19,0.0,9,200.0,2,6,0,0,0.02
Net5,12,1,22,71,19,0.0,6,127.0,5,6,0,0,0.04
Net6,0,1,22,63,15,0.0,15,282.0,0,0,0,0,0.02
Net6,3,1,22,63,15,0.0,11,245.0,2,1,0,0,0.02
Net6,6,1,22,63,15,0.0,9,207.0,4,1,0,0,0.04
Net6,9,1,22,63,15,0.0,6,150.0,3,4,0,0,0.02
Net6,12,1,22,63,15,0.0,4,105.0,2,7,0,0,0.02
Net7,0,1,22,61,12,0.0,12,206.0,0,0,0,0,0.03
Net7,3,1,22,61,12,0.0,7,143.0,0,3,0,0,0.02
Net7,6,1,22,61,12,0.0,6,123.0,1,3,0,0,0.03
Net7,9,1,22,61,12,0.0,3,59.0,0,4,4,0,0.02
Net7,12,1,22,61,12,0.0,2,41.0,1,4,4,0,0.03
Net8,0,1,22,69,14,0.0,14,259.0,0,0,0,0,0.02
Net8,3,1,22,69,14,0.0,9,204.0,1,2,0,0,0.02
Net8,6,1,22,69,14,0.0,6,137.0,4,2,0,0,0.02
Net8,9,1,22,69,14,0.0,4,97.0,6,2,0,0,0.03
Net8,12,1,22,69,14,0.0,2,48.0,8,2,0,0,0.02
Net9,0,1,22,64,13,0.0,13,241.0,0,0,0,0,0.2
Net9,3,1,22,64,13,0.0,10,217.0,3,0,0,0,0.03
Net9,6,1,22,64,13,0.0,8,182.0,5,0,0,0,0.03
Net9,9,1,22,64,13,0.0,7,156.0,6,0,0,0,0.05
Net9,12,1,22,64,13,0.0,5,112.0,6,3,0,0,0.04
Net10,0,1,22,69,14,0.0,14,275.0,0,0,0,0,0.04
Net10,3,1,22,69,14,0.0,11,243.0,3,0,0,0,0.02
Net10,6,1,22,69,14,0.0,8,195.0,6,0,0,0,0.02
Net10,9,1,22,69,14,0.0,5,124.0,9,0,0,0,0.02
Net10,12,1,22,69,14,0.0,4,100.0,10,0,1,0,0.07
