Instance,Budget,Cal_A,Nodes,Arcs,SpecialArcs,OptGap,ObjVal, Flow, Int_L1, Int_L2, Int_L3,Other_Lev,Time
Net1,3,2,22,69,19,0.0,12,204.5845,3,0,0,0,51.83
Net1,6,2,22,69,19,0.11,9,169.0,3,3,0,0,7374.32
Net2,3,2,22,66,17,0.0,13,263.0,0,3,0,0,39.63
Net2,6,2,22,66,17,0.1,10,221.0,0,2,4,0,7200.52
Net3,3,2,22,66,19,0.0,14,206.4602,2,0,0,0,33.89
Net3,6,2,22,66,19,0.0,11,210.1141,2,3,0,0,5673.57
Net4,3,2,22,58,17,0.0,13,172.85,0,0,3,0,30.4
Net4,6,2,22,58,17,0.0,9,112.7964,0,0,6,0,2375.16
Net5,3,2,22,58,15,0.0,8,91.6712,0,3,0,0,7.2
Net5,6,2,22,58,15,0.0,5,63.3486,2,1,0,0,0.92
Net6,3,2,22,62,13,0.0,10,255.0,0,2,0,0,17.54
Net6,6,2,22,62,13,0.0,7,184.0128,2,3,0,0,4.56
Net7,3,2,22,65,21,0.0,16,180.842,2,0,0,0,57.41
Net7,6,2,22,65,21,0.08,12,149.0,4,0,0,0,7200.99
Net8,3,2,22,75,20,0.0,17,301.7968,0,3,0,0,70.1
Net8,6,2,22,75,20,0.08,13,236.0,4,2,0,0,7201.09
Net9,3,2,22,67,20,0.0,15,253.0,1,0,2,0,40.3
Net9,6,2,22,67,20,0.25,12,143.0001,0,0,6,0,7200.4
Net10,3,2,22,69,21,0.0,17,216.0681,2,0,0,0,54.0
Net10,6,2,22,69,21,0.07,14,165.0,2,3,0,0,7205.43
