Instance,Budget,Cal_A,Nodes,Arcs,SpecialArcs,OptGap,ObjVal, MaxFlow, Int_L1, Int_L2, Int_L3,Other_Lev,Time
Net1,0,2,22,69,19,0.0,19,287.0,0,0,0,0,0.21
Net1,3,2,22,69,19,0.0,12,209.0,3,0,0,0,1.22
Net1,6,2,22,69,19,0.0,9,176.0,3,3,0,0,248.84
Net1,9,2,22,69,19,0.17,6,119.0,3,6,0,0,7200.12
Net1,12,2,22,69,19,0.25,4,81.0,3,8,0,0,7200.13
Net2,0,2,22,66,17,0.0,17,312.0,0,0,0,0,0.09
Net2,3,2,22,66,17,0.0,13,266.0,0,3,0,0,1.77
Net2,6,2,22,66,17,0.0,10,221.0,0,2,4,0,179.36
Net2,9,2,22,66,17,0.25,8,161.0,0,4,5,0,7200.14
Net2,12,2,22,66,17,0.2,5,99.0,0,3,9,0,7200.19
Net3,0,2,22,66,19,0.0,19,283.0,0,0,0,0,0.12
Net3,3,2,22,66,19,0.0,14,236.0,2,0,0,0,0.89
Net3,6,2,22,66,19,0.0,11,192.0,2,3,0,0,126.4
Net3,9,2,22,66,19,0.25,8,131.0,2,2,4,0,7200.12
Net3,12,2,22,66,19,0.2,5,78.0,2,5,4,0,7200.12
Net4,0,2,22,58,17,0.0,17,229.0,0,0,0,0,0.1
Net4,3,2,22,58,17,0.0,13,186.0,0,0,3,0,0.74
Net4,6,2,22,58,17,0.0,9,139.0,0,0,6,0,69.09
Net4,9,2,22,58,17,0.0,6,80.0,0,3,6,0,3685.82
Net4,12,2,22,58,17,0.0,3,53.0,0,2,10,0,0.12
Net5,0,2,22,58,15,0.0,11,134.0,0,0,0,0,0.09
Net5,3,2,22,58,15,0.0,8,101.0,0,3,0,0,0.33
Net5,6,2,22,58,15,0.0,5,66.0,2,1,0,0,0.11
Net5,9,2,22,58,15,0.0,3,38.0,2,3,0,0,0.09
Net5,12,2,22,58,15,0.0,2,26.0,2,4,0,0,0.1
Net6,0,2,22,62,13,0.0,13,293.0,0,0,0,0,0.09
Net6,3,2,22,62,13,0.0,10,255.0,2,0,0,0,0.68
Net6,6,2,22,62,13,0.0,7,199.0,2,3,0,0,0.18
Net6,9,2,22,62,13,0.0,6,168.0,2,4,0,0,1628.65
Net6,12,2,22,62,13,0.0,4,104.0,0,1,10,0,0.11
Net7,0,2,22,65,21,0.0,21,259.0,0,0,0,0,0.08
Net7,3,2,22,65,21,0.0,16,213.0,2,0,0,0,2.63
Net7,6,2,22,65,21,0.0,12,159.0,4,0,0,0,515.32
Net7,9,2,22,65,21,0.0,8,100.0,6,1,0,0,0.23
Net7,12,2,22,65,21,0.0,5,65.0,6,4,0,0,0.24
Net8,0,2,22,75,20,0.0,20,368.0,0,0,0,0,0.1
Net8,3,2,22,75,20,0.0,17,322.0,0,3,0,0,2.98
Net8,6,2,22,75,20,0.0,13,263.0,4,2,0,0,420.07
Net8,9,2,22,75,20,0.1,10,192.0,4,5,0,0,7200.22
Net8,12,2,22,75,20,0.0,7,140.0,4,8,0,0,0.22
Net9,0,2,22,67,20,0.0,20,291.0,0,0,0,0,0.11
Net9,3,2,22,67,20,0.0,15,253.0,1,0,2,0,1.14
Net9,6,2,22,67,20,0.0,12,197.0,0,0,6,0,222.28
Net9,9,2,22,67,20,0.33,9,139.0,6,1,0,0,7200.13
Net9,12,2,22,67,20,0.2,5,79.0,8,1,0,0,7200.22
Net10,0,2,22,69,21,0.0,21,276.0,0,0,0,0,0.12
Net10,3,2,22,69,21,0.0,17,232.0,2,0,0,0,1.15
Net10,6,2,22,69,21,0.0,14,191.0,2,3,0,0,210.76
Net10,9,2,22,69,21,0.09,11,158.0,4,2,0,0,7200.27
Net10,12,2,22,69,21,0.12,8,113.0,8,1,0,0,7200.28
