Instance,Budget,Cal_A,Nodes,Arcs,SpecialArcs,OptGap,ObjVal, Flow, Int_L1, Int_L2, Int_L3,Other_Lev,Time
Net1,0,1,22,66,16,0.0,16,286.0,0,0,0,0,0.26
Net1,3,1,22,66,16,0.0,13,226.6821,3,0,0,0,2.06
Net1,6,1,22,66,16,0.0,10,172.1831,3,3,0,0,387.25
Net1,9,1,22,66,16,0.37,8,129.125,5,3,0,0,7200.14
Net1,12,1,22,66,16,0.5,6,141.0,3,7,0,0,7200.14
Net2,0,1,22,68,17,0.0,17,290.0,0,0,0,0,0.11
Net2,3,1,22,68,17,0.0,14,231.5618,3,0,0,0,3.13
Net2,6,1,22,68,17,0.0,11,170.1765,6,0,0,0,499.79
Net2,9,1,22,68,17,0.33,9,117.0,8,0,0,0,7200.25
Net2,12,1,22,68,17,0.33,6,80.0,6,4,0,0,7200.16
Net3,0,1,22,70,14,0.0,14,254.0,0,0,0,0,0.13
Net3,3,1,22,70,14,0.0,11,191.6731,3,0,0,0,3.22
Net3,6,1,22,70,14,0.0,8,149.0174,6,0,0,0,1069.64
Net3,9,1,22,70,14,0.17,6,108.0,5,4,0,0,7200.13
Net3,12,1,22,70,14,0.0,4,85.0,7,4,0,0,0.14
Net4,0,1,22,68,16,0.0,16,236.0,0,0,0,0,0.1
Net4,3,1,22,68,16,0.0,13,187.8418,3,0,0,0,2.07
Net4,6,1,22,68,16,0.0,9,139.5018,2,3,0,0,117.36
Net4,9,1,22,68,16,0.0,6,104.6392,1,5,0,0,6825.54
Net4,12,1,22,68,16,0.0,4,75.8015,3,5,0,0,0.26
Net5,0,1,22,71,19,0.0,19,319.0,0,0,0,0,0.12
Net5,3,1,22,71,19,0.0,15,249.3128,0,3,0,0,2.64
Net5,6,1,22,71,19,0.0,12,205.2296,3,3,0,0,804.43
Net5,9,1,22,71,19,0.33,9,145.0,2,6,0,0,7200.17
Net5,12,1,22,71,19,0.33,6,99.0,5,6,0,0,7200.15
Net6,0,1,22,63,15,0.0,15,282.0,0,0,0,0,0.13
Net6,3,1,22,63,15,0.0,11,223.6133,2,1,0,0,2.23
Net6,6,1,22,63,15,0.0,9,207.0,4,1,0,0,180.33
Net6,9,1,22,63,15,0.17,6,150.0,3,4,0,0,7200.12
Net6,12,1,22,63,15,0.25,4,103.0,2,7,0,0,7200.13
Net7,0,1,22,61,12,0.0,12,206.0,0,0,0,0,0.11
Net7,3,1,22,61,12,0.0,7,134.1834,0,3,0,0,0.68
Net7,6,1,22,61,12,0.0,6,99.7888,1,3,1,0,50.08
Net7,9,1,22,61,12,0.0,3,53.8768,0,4,4,0,0.17
Net7,12,1,22,61,12,0.0,2,36.3825,1,4,4,0,0.19
Net8,0,1,22,69,14,0.0,14,259.0,0,0,0,0,0.09
Net8,3,1,22,69,14,0.0,9,187.2406,1,2,0,0,0.11
Net8,6,1,22,69,14,0.0,6,137.0,4,2,0,0,0.1
Net8,9,1,22,69,14,0.0,4,97.0,6,2,0,0,0.14
Net8,12,1,22,69,14,0.0,2,48.0,8,2,0,0,0.16
Net9,0,1,22,64,13,0.0,13,241.0,0,0,0,0,0.09
Net9,3,1,22,64,13,0.0,10,194.1937,3,0,0,0,1.95
Net9,6,1,22,64,13,0.0,8,157.8093,5,0,0,0,212.7
Net9,9,1,22,64,13,0.29,7,110.0,6,0,0,0,7200.15
Net9,12,1,22,64,13,0.4,5,74.0,8,0,0,0,7200.13
Net10,0,1,22,69,14,0.0,14,275.0,0,0,0,0,0.12
Net10,3,1,22,69,14,0.0,11,207.291,3,0,0,0,3.93
Net10,6,1,22,69,14,0.0,8,152.0969,6,0,0,0,1118.26
Net10,9,1,22,69,14,0.0,5,110.2848,9,0,0,0,0.18
Net10,12,1,22,69,14,0.0,4,86.6396,10,0,1,0,0.27
