Network,Budget,Constraints,Variables,Nonzero,Init_GAP,WarmSart_Time
Net1,0,105,707,469,0,0.00s
Net1,3,105,707,469,0.31,0.00s
Net1,6,105,707,469,0.4,0.01s
Net1,9,105,707,469,0.37,0.01s
Net1,12,105,707,469,0.5,0.01s
Net2,0,108,727,484,0,0.00s
Net2,3,108,727,484,0.29,0.00s
Net2,6,108,727,484,0.27,0.01s
Net2,9,108,727,484,0.33,0.01s
Net2,12,108,727,484,0.33,0.01s
Net3,0,107,747,487,0,0.00s
Net3,3,107,747,487,0.18,0.01s
Net3,6,107,747,487,0.13,0.01s
Net3,9,107,747,487,0.17,0.01s
Net3,12,107,747,487,0,0.01s
Net4,0,107,727,481,0,0.00s
Net4,3,107,727,481,0.31,0.00s
Net4,6,107,727,481,0.22,0.00s
Net4,9,107,727,481,0.17,0.01s
Net4,12,107,727,481,0,0.00s
Net5,0,113,757,508,0,0.00s
Net5,3,113,757,508,0.27,0.01s
Net5,6,113,757,508,0.33,0.01s
Net5,9,113,757,508,0.33,0.01s
Net5,12,113,757,508,0.33,0.01s
Net6,0,101,677,448,0,0.00s
Net6,3,101,677,448,0.09,0.00s
Net6,6,101,677,448,0.22,0.00s
Net6,9,101,677,448,0.17,0.01s
Net6,12,101,677,448,0.25,0.00s
Net7,0,96,657,427,0,0.00s
Net7,3,96,657,427,0.14,0.00s
Net7,6,96,657,427,0.33,0.00s
Net7,9,96,657,427,0,0.00s
Net7,12,96,657,427,0,0.00s
Net8,0,106,737,481,0,0.00s
Net8,3,106,737,481,0,0.00s
Net8,6,106,737,481,0,0.00s
Net8,9,106,737,481,0,0.01s
Net8,12,106,737,481,0,0.01s
Net9,0,100,687,448,0,0.00s
Net9,3,100,687,448,0.1,0.00s
Net9,6,100,687,448,0.25,0.01s
Net9,9,100,687,448,0.29,0.01s
Net9,12,100,687,448,0.4,0.01s
Net10,0,106,737,481,0,0.00s
Net10,3,106,737,481,0.18,0.00s
Net10,6,106,737,481,0.13,0.01s
Net10,9,106,737,481,0,0.01s
Net10,12,106,737,481,0,0.01s
