Instance,Budget,Cal_A,Nodes,Arcs,SpecialArcs,OptGap,ObjVal, MaxFlow, Int_L1, Int_L2, Int_L3,Other_Lev,Time,,WarmStart,
Net1,3,2,22,69,19,0,12,209,3,0,0,0,16.44,,1.22,
Net1,6,2,22,69,19,0,9,166,3,3,0,0,2425.35,,248.84,
Net2,3,2,22,66,17,0,13,266,0,3,0,0,9.63,,1.77,
Net2,6,2,22,66,17,0,10,217,0,2,4,0,2124.63,,179.36,
Net3,3,2,22,66,19,0,14,236,2,0,0,0,7.82,,0.89,
Net3,6,2,22,66,19,0,11,183,2,3,0,0,1450.54,,126.4,
Net4,3,2,22,58,17,0,13,188,0,0,3,0,9.02,,0.74,
Net4,6,2,22,58,17,0,9,139,0,0,6,0,734.71,,69.09,
Net5,3,2,22,58,15,0,8,103,0,3,0,0,2.67,,0.33,
Net5,6,2,22,58,15,0,5,66,2,1,0,0,69.68,,0.11,
Net6,3,2,22,62,13,0,10,253,0,2,0,0,3.74,,0.68,
Net6,6,2,22,62,13,0,7,199,2,3,0,0,337.96,,0.18,
Net7,3,2,22,65,21,0,16,213,2,0,0,0,22.77,,2.63,
Net7,6,2,22,65,21,0,12,154,4,1,0,0,5066.2,,515.32,
Net8,3,2,22,75,20,0,17,333,0,3,0,0,13.67,,2.98,
Net8,6,2,22,75,20,0,13,245,4,2,0,0,4187.93,,420.07,
Net9,3,2,22,67,20,0,15,253,1,0,2,0,11.23,,1.14,
Net9,6,2,22,67,20,0,12,197,0,0,6,0,2402.78,,222.28,
Net10,3,2,22,69,21,0,17,232,2,0,0,0,10.73,,1.15,
Net10,6,2,22,69,21,0,14,181,2,3,0,0,1900.27,,210.76,
