Network,Budget,Constraints,Variables,Nonzero,Init_GAP,WarmSart_Time
Net1,0,293,508,947,0,0.00s
Net1,3,293,515,954,0.08,0.00s
Net1,6,293,516,955,0.11,0.00s
Net1,9,293,516,955,0.17,0.00s
Net1,12,293,516,955,0.25,0.00s
Net2,0,280,487,899,0,0.00s
Net2,3,280,494,906,0.08,0.00s
Net2,6,280,495,907,0.1,0.00s
Net2,9,280,495,907,0.25,0.00s
Net2,12,280,495,907,0.2,0.00s
Net3,0,284,487,911,0,0.00s
Net3,3,284,494,918,0.21,0.00s
Net3,6,284,495,919,0.27,0.00s
Net3,9,284,495,919,0.25,0.00s
Net3,12,284,495,919,0.2,0.00s
Net4,0,256,431,803,0,0.00s
Net4,3,256,438,810,0.15,0.01s
Net4,6,256,438,810,0.11,0.00s
Net4,9,256,439,811,0.17,0.00s
Net4,12,256,439,811,0,0.00s
Net5,0,252,431,791,0,0.00s
Net5,3,252,437,797,0.12,0.00s
Net5,6,252,438,798,0,0.00s
Net5,9,252,438,798,0,0.00s
Net5,12,252,438,798,0,0.00s
Net6,0,260,459,827,0,0.00s
Net6,3,260,466,834,0.1,0.00s
Net6,6,260,466,834,0,0.00s
Net6,9,260,467,835,0.17,0.00s
Net6,12,260,467,835,0,0.00s
Net7,0,285,480,911,0,0.00s
Net7,3,285,487,918,0.12,0.01s
Net7,6,285,488,919,0.08,0.00s
Net7,9,285,488,919,0,0.00s
Net7,12,285,488,919,0,0.00s
Net8,0,313,550,1025,0,0.00s
Net8,3,313,557,1032,0.12,0.01s
Net8,6,313,558,1033,0.08,0.00s
Net8,9,313,558,1033,0.1,0.00s
Net8,12,313,558,1033,0,0.00s
Net9,0,289,494,929,0,0.00s
Net9,3,289,501,936,0.2,0.01s
Net9,6,289,502,937,0.25,0.00s
Net9,9,289,502,937,0.33,0.00s
Net9,12,289,502,937,0.2,0.00s
Net10,0,297,508,959,0,0.00s
Net10,3,297,514,965,0.06,0.01s
Net10,6,297,515,966,0.07,0.00s
Net10,9,297,516,967,0.09,0.00s
Net10,12,297,516,967,0.12,0.00s
