Network,Budget,Constraints,Variables,Nonzero,Init_GAP,WarmSart_Time
Net1,0,111,737,496,0,0.00s
Net1,3,111,737,496,0.08,0.01s
Net1,6,111,737,496,0.11,0.01s
Net1,9,111,737,496,0.17,0.01s
Net1,12,111,737,496,0.25,0.01s
Net2,0,106,707,472,0,0.00s
Net2,3,106,707,472,0.08,0.00s
Net2,6,106,707,472,0.1,0.01s
Net2,9,106,707,472,0.25,0.01s
Net2,12,106,707,472,0.2,0.01s
Net3,0,108,707,478,0,0.00s
Net3,3,108,707,478,0.21,0.01s
Net3,6,108,707,478,0.27,0.01s
Net3,9,108,707,478,0.25,0.01s
Net3,12,108,707,478,0.2,0.01s
Net4,0,98,627,424,0,0.00s
Net4,3,98,627,424,0.15,0.00s
Net4,6,98,627,424,0.11,0.00s
Net4,9,98,627,424,0.17,0.01s
Net4,12,98,627,424,0,0.00s
Net5,0,96,627,418,0,0.00s
Net5,3,96,627,418,0.13,0.00s
Net5,6,96,627,418,0,0.00s
Net5,9,96,627,418,0,0.00s
Net5,12,96,627,418,0,0.00s
Net6,0,98,667,436,0,0.00s
Net6,3,98,667,436,0.1,0.00s
Net6,6,98,667,436,0,0.00s
Net6,9,98,667,436,0.17,0.00s
Net6,12,98,667,436,0,0.01s
Net7,0,109,697,478,0,0.00s
Net7,3,109,697,478,0.13,0.00s
Net7,6,109,697,478,0.08,0.01s
Net7,9,109,697,478,0,0.01s
Net7,12,109,697,478,0,0.01s
Net8,0,118,797,535,0,0.00s
Net8,3,118,797,535,0.12,0.01s
Net8,6,118,797,535,0.08,0.01s
Net8,9,118,797,535,0.1,0.01s
Net8,12,118,797,535,0,0.01s
Net9,0,110,717,487,0,0.01s
Net9,3,110,717,487,0.2,0.01s
Net9,6,110,717,487,0.25,0.01s
Net9,9,110,717,487,0.33,0.01s
Net9,12,110,717,487,0.2,0.01s
Net10,0,113,737,502,0,0.00s
Net10,3,113,737,502,0.06,0.01s
Net10,6,113,737,502,0.07,0.01s
Net10,9,113,737,502,0.09,0.01s
Net10,12,113,737,502,0.12,0.01s
