Instance,Budget,Rate,Nodes,Traffick,Bottoms,Victims,ObjVal,OptGap,Flow,Int_Traf,Int_Bot,Int_Vic,Time
Network1,0,0.5,41,5,5,31,15,0.0,96.0,0,0,0,0.23
Network1,0,0.75,41,5,5,31,20,0.0,144.0,0,0,0,0.05
Network1,0,1,41,5,5,31,36,0.0,195.0,0,0,0,0.03
Network1,4,0.5,41,5,5,31,15,0.0,96.0,0,0,2,0.27
Network1,4,0.75,41,5,5,31,20,0.0,144.0,0,0,0,0.13
Network1,4,1,41,5,5,31,34,0.0,176.0,0,0,2,0.05
Network1,8,0.5,41,5,5,31,11,0.0,65.0,1,0,0,0.11
Network1,8,0.75,41,5,5,31,15,0.0,98.0,1,0,0,0.04
Network1,8,1,41,5,5,31,27,0.0,133.0,1,0,0,0.04
Network1,12,0.5,41,5,5,31,11,0.0,65.0,1,0,0,0.19
Network1,12,0.75,41,5,5,31,15,0.0,98.0,1,1,0,0.14
Network1,12,1,41,5,5,31,25,0.0,126.0,1,1,0,0.06
Network1,16,0.5,41,5,5,31,8,0.0,53.0,2,0,0,0.1
Network1,16,0.75,41,5,5,31,11,0.0,65.0,2,0,0,0.06
Network1,16,1,41,5,5,31,19,0.0,96.0,2,0,0,0.06
Network1,20,0.5,41,5,5,31,8,0.0,53.0,2,0,1,0.2
Network1,20,0.75,41,5,5,31,11,0.0,65.0,2,0,0,0.12
Network1,20,1,41,5,5,31,17,0.0,89.0,2,1,0,0.06
Network1,24,0.5,41,5,5,31,5,0.0,31.0,3,0,0,0.04
Network1,24,0.75,41,5,5,31,7,0.0,38.0,3,0,0,0.04
Network1,24,1,41,5,5,31,11,0.0,52.0,3,0,0,0.05
Network2,0,0.5,32,5,4,23,10,0.0,79.0,0,0,0,0.03
Network2,0,0.75,32,5,4,23,17,0.0,118.0,0,0,0,0.02
Network2,0,1,32,5,4,23,27,0.0,161.0,0,0,0,0.02
Network2,4,0.5,32,5,4,23,9,0.0,73.0,0,0,2,0.04
Network2,4,0.75,32,5,4,23,15,0.0,109.0,0,0,2,0.05
Network2,4,1,32,5,4,23,24,0.0,154.0,0,1,0,0.03
Network2,8,0.5,32,5,4,23,6,0.0,40.0,1,0,0,0.03
Network2,8,0.75,32,5,4,23,10,0.0,60.0,1,0,0,0.03
Network2,8,1,32,5,4,23,17,0.0,83.0,1,0,0,0.03
Network2,12,0.5,32,5,4,23,5,0.0,34.0,1,0,2,0.03
Network2,12,0.75,32,5,4,23,8,0.0,51.0,1,0,2,0.04
Network2,12,1,32,5,4,23,14,0.0,76.0,1,1,0,0.03
Network2,16,0.5,32,5,4,23,4,0.0,26.0,2,0,0,0.03
Network2,16,0.75,32,5,4,23,6,0.0,39.0,2,0,0,0.03
Network2,16,1,32,5,4,23,9,0.0,54.0,2,0,0,0.04
Network2,20,0.5,32,5,4,23,3,0.0,20.0,2,0,2,0.03
Network2,20,0.75,32,5,4,23,4,0.0,30.0,2,0,2,0.03
Network2,20,1,32,5,4,23,7,0.0,41.0,2,0,2,0.03
Network2,24,0.5,32,5,4,23,2,0.0,15.0,3,0,0,0.04
Network2,24,0.75,32,5,4,23,3,0.0,24.0,2,0,4,0.07
Network2,24,1,32,5,4,23,5,0.0,32.0,3,0,0,0.04
Network3,0,0.5,30,5,3,22,10,0.0,62.0,0,0,0,0.03
Network3,0,0.75,30,5,3,22,15,0.0,93.0,0,0,0,0.02
Network3,0,1,30,5,3,22,25,0.0,126.0,0,0,0,0.02
Network3,4,0.5,30,5,3,22,9,0.0,58.0,0,0,2,0.04
Network3,4,0.75,30,5,3,22,13,0.0,76.0,0,1,0,0.03
Network3,4,1,30,5,3,22,21,0.0,101.0,0,1,0,0.03
Network3,8,0.5,30,5,3,22,8,0.0,50.0,1,0,0,0.09
Network3,8,0.75,30,5,3,22,11,0.0,75.0,1,0,0,0.04
Network3,8,1,30,5,3,22,18,0.0,101.0,1,0,0,0.03
Network3,12,0.5,30,5,3,22,6,0.0,42.0,0,0,6,0.07
Network3,12,0.75,30,5,3,22,9,0.0,58.0,1,1,0,0.03
Network3,12,1,30,5,3,22,14,0.0,76.0,1,1,0,0.03
Network3,16,0.5,30,5,3,22,6,0.0,34.0,1,1,2,0.1
Network3,16,0.75,30,5,3,22,7,0.0,51.0,2,0,0,0.04
Network3,16,1,30,5,3,22,12,0.0,73.0,2,0,0,0.04
Network3,20,0.5,30,5,3,22,4,0.0,30.0,1,0,6,0.12
Network3,20,0.75,30,5,3,22,6,0.0,38.0,1,1,4,0.06
Network3,20,1,30,5,3,22,8,0.0,48.0,2,1,0,0.03
Network3,24,0.5,30,5,3,22,4,0.0,20.0,3,0,0,0.1
Network3,24,0.75,30,5,3,22,4,0.0,30.0,3,0,0,0.04
Network3,24,1,30,5,3,22,6,0.0,32.0,2,1,2,0.03
Network4,0,0.5,37,5,5,27,12,0.0,91.0,0,0,0,0.03
Network4,0,0.75,37,5,5,27,19,0.0,136.0,0,0,0,0.03
Network4,0,1,37,5,5,27,32,0.0,183.0,0,0,0,0.03
Network4,4,0.5,37,5,5,27,12,0.0,90.0,0,1,0,0.1
Network4,4,0.75,37,5,5,27,18,0.0,128.0,0,1,0,0.07
Network4,4,1,37,5,5,27,29,0.0,167.0,0,1,0,0.04
Network4,8,0.5,37,5,5,27,8,0.0,59.0,1,0,0,0.03
Network4,8,0.75,37,5,5,27,13,0.0,88.0,1,0,0,0.03
Network4,8,1,37,5,5,27,22,0.0,119.0,1,0,0,0.04
Network4,12,0.5,37,5,5,27,8,0.0,59.0,1,0,1,0.07
Network4,12,0.75,37,5,5,27,12,0.0,80.0,1,1,0,0.1
Network4,12,1,37,5,5,27,19,0.0,103.0,1,1,0,0.04
Network4,16,0.5,37,5,5,27,5,0.0,41.0,2,0,0,0.03
Network4,16,0.75,37,5,5,27,9,0.0,61.0,2,0,0,0.04
Network4,16,1,37,5,5,27,15,0.0,84.0,2,0,0,0.04
Network4,20,0.5,37,5,5,27,5,0.0,41.0,2,0,2,0.04
Network4,20,0.75,37,5,5,27,8,0.0,53.0,2,1,0,0.1
