Instance,Budget,Rate,Nodes,Traffick,Bottoms,Victims,ObjVal,OptGap,Flow,Int_Traf,Int_Bot,Int_Vic,Time
Network4,20,1,37,5,5,27,12,0.0,68.0,2,1,0,0.06
Network4,24,0.5,37,5,5,27,3,0.0,24.0,3,0,0,0.03
Network4,24,0.75,37,5,5,27,5,0.0,35.0,3,0,0,0.03
Network4,24,1,37,5,5,27,9,0.0,48.0,3,0,0,0.06
Network5,0,0.5,33,5,5,23,11,0.0,79.0,0,0,0,0.03
Network5,0,0.75,33,5,5,23,18,0.0,119.0,0,0,0,0.03
Network5,0,1,33,5,5,23,28,0.0,161.0,0,0,0,0.03
Network5,4,0.5,33,5,5,23,10,0.0,70.0,0,1,0,0.04
Network5,4,0.75,33,5,5,23,16,0.0,101.0,0,1,0,0.06
Network5,4,1,33,5,5,23,24,0.0,134.0,0,1,0,0.04
Network5,8,0.5,33,5,5,23,8,0.0,60.0,1,0,0,0.03
Network5,8,0.75,33,5,5,23,14,0.0,93.0,1,0,0,0.11
Network5,8,1,33,5,5,23,21,0.0,110.0,0,2,0,0.04
Network5,12,0.5,33,5,5,23,7,0.0,51.0,1,1,0,0.05
Network5,12,0.75,33,5,5,23,12,0.0,75.0,1,1,0,0.09
Network5,12,1,33,5,5,23,17,0.0,96.0,1,1,0,0.04
Network5,16,0.5,33,5,5,23,5,0.0,43.0,2,0,0,0.04
Network5,16,0.75,33,5,5,23,10,0.0,65.0,2,0,0,0.1
Network5,16,1,33,5,5,23,14,0.0,72.0,1,2,0,0.06
Network5,20,0.5,33,5,5,23,5,0.0,34.0,2,1,0,0.04
Network5,20,0.75,33,5,5,23,8,0.0,47.0,2,1,0,0.06
Network5,20,1,33,5,5,23,11,0.0,61.0,2,1,0,0.05
Network5,24,0.5,33,5,5,23,3,0.0,23.0,3,0,0,0.04
Network5,24,0.75,33,5,5,23,6,0.0,39.0,3,0,0,0.04
Network5,24,1,33,5,5,23,8,0.0,37.0,2,2,0,0.05
Network6,0,0.5,37,5,5,27,12,0.0,86.0,0,0,0,0.03
Network6,0,0.75,37,5,5,27,18,0.0,128.0,0,0,0,0.03
Network6,0,1,37,5,5,27,32,0.0,173.0,0,0,0,0.03
Network6,4,0.5,37,5,5,27,12,0.0,86.0,0,0,0,0.12
Network6,4,0.75,37,5,5,27,17,0.0,122.0,0,1,0,0.1
Network6,4,1,37,5,5,27,28,0.0,151.0,0,1,0,0.03
Network6,8,0.5,37,5,5,27,9,0.0,65.0,1,0,0,0.03
Network6,8,0.75,37,5,5,27,13,0.0,97.0,1,0,0,0.03
Network6,8,1,37,5,5,27,24,0.0,131.0,1,0,0,0.05
Network6,12,0.5,37,5,5,27,9,0.0,65.0,1,0,2,0.1
Network6,12,0.75,37,5,5,27,12,0.0,91.0,1,1,0,0.06
Network6,12,1,37,5,5,27,20,0.0,109.0,1,1,0,0.04
Network6,16,0.5,37,5,5,27,6,0.0,43.0,2,0,0,0.03
Network6,16,0.75,37,5,5,27,9,0.0,64.0,2,0,0,0.03
Network6,16,1,37,5,5,27,16,0.0,93.0,2,0,0,0.04
Network6,20,0.5,37,5,5,27,6,0.0,43.0,2,0,0,0.1
Network6,20,0.75,37,5,5,27,8,0.0,58.0,2,1,0,0.04
Network6,20,1,37,5,5,27,13,0.0,64.0,2,1,0,0.04
Network6,24,0.5,37,5,5,27,4,0.0,24.0,3,0,0,0.03
Network6,24,0.75,37,5,5,27,6,0.0,36.0,3,0,0,0.05
Network6,24,1,37,5,5,27,9,0.0,48.0,3,0,0,0.04
Network7,0,0.5,33,5,4,24,12,0.0,85.0,0,0,0,0.03
Network7,0,0.75,33,5,4,24,19,0.0,127.0,0,0,0,0.02
Network7,0,1,33,5,4,24,28,0.0,172.0,0,0,0,0.02
Network7,4,0.5,33,5,4,24,11,0.0,76.0,0,0,2,0.04
Network7,4,0.75,33,5,4,24,17,0.0,114.0,0,0,2,0.07
Network7,4,1,33,5,4,24,25,0.0,162.0,0,1,0,0.05
Network7,8,0.5,33,5,4,24,9,0.0,61.0,1,0,0,0.04
Network7,8,0.75,33,5,4,24,14,0.0,91.0,1,0,0,0.04
Network7,8,1,33,5,4,24,20,0.0,124.0,1,0,0,0.03
Network7,12,0.5,33,5,4,24,8,0.0,52.0,1,0,2,0.07
Network7,12,0.75,33,5,4,24,12,0.0,78.0,1,0,2,0.05
Network7,12,1,33,5,4,24,17,0.0,111.0,1,1,0,0.04
Network7,16,0.5,33,5,4,24,6,0.0,37.0,2,0,0,0.03
Network7,16,0.75,33,5,4,24,9,0.0,55.0,2,0,0,0.03
Network7,16,1,33,5,4,24,13,0.0,75.0,2,0,0,0.03
Network7,20,0.5,33,5,4,24,5,0.0,28.0,2,0,2,0.04
Network7,20,0.75,33,5,4,24,7,0.0,42.0,2,0,2,0.03
Network7,20,1,33,5,4,24,10,0.0,62.0,2,1,0,0.04
Network7,24,0.5,33,5,4,24,3,0.0,20.0,3,0,0,0.03
Network7,24,0.75,33,5,4,24,5,0.0,30.0,3,0,0,0.03
Network7,24,1,33,5,4,24,7,0.0,41.0,3,0,0,0.03
Network8,0,0.5,30,5,3,22,9,0.0,73.0,0,0,0,0.02
Network8,0,0.75,30,5,3,22,16,0.0,110.0,0,0,0,0.03
Network8,0,1,30,5,3,22,25,0.0,150.0,0,0,0,0.02
Network8,4,0.5,30,5,3,22,8,0.0,66.0,0,0,2,0.03
Network8,4,0.75,30,5,3,22,14,0.0,100.0,0,0,2,0.03
Network8,4,1,30,5,3,22,21,0.0,122.0,0,1,0,0.02
Network8,8,0.5,30,5,3,22,6,0.0,47.0,1,0,0,0.02
Network8,8,0.75,30,5,3,22,11,0.0,71.0,1,0,0,0.03
Network8,8,1,30,5,3,22,17,0.0,97.0,1,0,0,0.03
Network8,12,0.5,30,5,3,22,5,0.0,40.0,1,0,2,0.03
Network8,12,0.75,30,5,3,22,9,0.0,61.0,1,0,2,0.04
Network8,12,1,30,5,3,22,14,0.0,85.0,1,1,0,0.05
Network8,16,0.5,30,5,3,22,4,0.0,29.0,2,0,0,0.03
Network8,16,0.75,30,5,3,22,7,0.0,51.0,2,0,0,0.03
Network8,16,1,30,5,3,22,10,0.0,60.0,2,0,0,0.03
Network8,20,0.5,30,5,3,22,3,0.0,22.0,2,0,2,0.03
Network8,20,0.75,30,5,3,22,5,0.0,41.0,2,0,2,0.03
Network8,20,1,30,5,3,22,8,0.0,48.0,2,0,2,0.04
Network8,24,0.5,30,5,3,22,2,0.0,16.0,3,0,0,0.03
Network8,24,0.75,30,5,3,22,4,0.0,24.0,3,0,0,0.03
Network8,24,1,30,5,3,22,5,0.0,33.0,3,0,0,0.03
Network9,0,0.5,26,5,3,18,8,0.0,51.0,0,0,0,0.02
Network9,0,0.75,26,5,3,18,12,0.0,75.0,0,0,0,0.02
Network9,0,1,26,5,3,18,21,0.0,103.0,0,0,0,0.02
Network9,4,0.5,26,5,3,18,7,0.0,49.0,0,0,2,0.03
Network9,4,0.75,26,5,3,18,11,0.0,72.0,0,0,1,0.06
Network9,4,1,26,5,3,18,18,0.0,91.0,0,1,0,0.02
Network9,8,0.5,26,5,3,18,5,0.0,34.0,1,0,0,0.03
Network9,8,0.75,26,5,3,18,8,0.0,48.0,1,0,0,0.03
Network9,8,1,26,5,3,18,15,0.0,69.0,1,0,0,0.03
Network9,12,0.5,26,5,3,18,4,0.0,32.0,1,0,1,0.03
Network9,12,0.75,26,5,3,18,7,0.0,45.0,1,1,0,0.08
Network9,12,1,26,5,3,18,12,0.0,54.0,1,1,0,0.03
Network9,16,0.5,26,5,3,18,3,0.0,16.0,2,0,0,0.03
Network9,16,0.75,26,5,3,18,4,0.0,23.0,2,0,0,0.04
Network9,16,1,26,5,3,18,9,0.0,32.0,2,0,0,0.03
Network9,20,0.5,26,5,3,18,2,0.0,14.0,2,0,2,0.02
Network9,20,0.75,26,5,3,18,3,0.0,20.0,1,1,4,0.03
Network9,20,1,26,5,3,18,7,0.0,19.0,2,0,2,0.03
Network9,24,0.5,26,5,3,18,2,0.0,14.0,2,0,3,0.02
Network9,24,0.75,26,5,3,18,2,0.0,13.0,3,0,0,0.03
Network9,24,1,26,5,3,18,5,0.0,18.0,3,0,0,0.03
Network10,0,0.5,31,5,4,22,11,0.0,81.0,0,0,0,0.03
Network10,0,0.75,31,5,4,22,16,0.0,121.0,0,0,0,0.02
Network10,0,1,31,5,4,22,26,0.0,163.0,0,0,0,0.02
Network10,4,0.5,31,5,4,22,10,0.0,74.0,0,0,2,0.09
Network10,4,0.75,31,5,4,22,14,0.0,111.0,0,0,2,0.04
Network10,4,1,31,5,4,22,23,0.0,150.0,0,1,0,0.03
Network10,8,0.5,31,5,4,22,7,0.0,52.0,1,0,0,0.03
Network10,8,0.75,31,5,4,22,11,0.0,78.0,1,0,0,0.03
Network10,8,1,31,5,4,22,19,0.0,105.0,1,0,0,0.03
Network10,12,0.5,31,5,4,22,6,0.0,45.0,1,0,2,0.03
Network10,12,0.75,31,5,4,22,9,0.0,68.0,1,0,2,0.03
Network10,12,1,31,5,4,22,16,0.0,92.0,1,1,0,0.05
Network10,16,0.5,31,5,4,22,5,0.0,34.0,2,0,0,0.04
Network10,16,0.75,31,5,4,22,8,0.0,51.0,2,0,0,0.04
Network10,16,1,31,5,4,22,13,0.0,78.0,2,0,0,0.05
Network10,20,0.5,31,5,4,22,4,0.0,27.0,2,0,2,0.03
Network10,20,0.75,31,5,4,22,6,0.0,41.0,2,0,2,0.04
Network10,20,1,31,5,4,22,10,0.0,65.0,2,1,0,0.04
Network10,24,0.5,31,5,4,22,3,0.0,20.0,3,0,0,0.03
Network10,24,0.75,31,5,4,22,5,0.0,30.0,3,0,0,0.04
Network10,24,1,31,5,4,22,7,0.0,50.0,3,0,0,0.04
